DESCRIPTION,procedure_count
Assessment of health and social care needs (procedure),4596
Hospice care (regime/therapy),4098
Depression screening using Patient Health Questionnaire Two-Item score (procedure),3614
Depression screening (procedure),3614
Assessment of substance use (procedure),2906
Renal dialysis (procedure),2746
Assessment using Morse Fall Scale (procedure),2422
Assessment of anxiety (procedure),2288
Medication Reconciliation (procedure),2284
Screening for drug abuse (procedure),1484
Screening for domestic abuse (procedure),1432
Assessment using Alcohol Use Disorders Identification Test - Consumption (procedure),1422
Electrical cardioversion,1383
Auscultation of the fetal heart,1065
Evaluation of uterine fundal height,1065
Movement therapy (regime/therapy),890
Intramuscular injection,522
Combined chemotherapy and radiation therapy (procedure),444
Colonoscopy,424
Catheter ablation of tissue of heart,365
Placing subject in prone position (procedure),240
Oxygen administration by mask (procedure),240
Hemoglobin / Hematocrit / Platelet count,237
Spirometry (procedure),209
Depression screening using Patient Health Questionnaire Nine Item score (procedure),206
Bone density scan (procedure),198
Mammography (procedure),194
Depression screening,190
Standard pregnancy test,184
Ultrasound scan for fetal viability,184
Echocardiography (procedure),179
Pulmonary rehabilitation (regime/therapy),171
Measurement of respiratory function (procedure),170
Teleradiotherapy procedure (procedure),170
High resolution computed tomography of chest without contrast (procedure),144
Hearing examination (procedure),144
Cytopathology procedure  preparation of smear  genital source (procedure),140
Manual pelvic examination (procedure),140
Cognitive and behavioral therapy (regime/therapy),136
Screening for chromosomal aneuploidy in prenatal amniotic fluid,121
Physical examination following birth,119
Urine screening for glucose,119
Vaccination for diphtheria  pertussis  and tetanus,119
Gonorrhea infection test,118
Syphilis infection test,118
Physical examination of mother,118
Hepatitis C antibody test,118
Hepatitis B Surface Antigen Measurement,118
Cytopathology procedure  preparation of smear  genital source,118
Measurement of Varicella-zoster virus antibody,118
