START,encounters,total_cost,average_cost
2011-01-31 00:00:00+00:00,86,259121.74,3013.0434883720927
2011-02-28 00:00:00+00:00,86,305801.38,3555.83
2011-03-31 00:00:00+00:00,129,327225.51,2536.6318604651165
2011-04-30 00:00:00+00:00,113,386556.64,3420.855221238938
2011-05-31 00:00:00+00:00,131,417517.16000000003,3187.1538931297714
2011-06-30 00:00:00+00:00,131,417896.96,3190.0531297709927
2011-07-31 00:00:00+00:00,124,432557.26,3488.3650000000002
2011-08-31 00:00:00+00:00,115,345853.09,3007.4181739130436
2011-09-30 00:00:00+00:00,124,332587.06,2682.1537096774196
2011-10-31 00:00:00+00:00,84,357506.27,4256.027023809524
2011-11-30 00:00:00+00:00,100,403491.63,4034.9163
2011-12-31 00:00:00+00:00,113,419822.03,3715.2392035398234
2012-01-31 00:00:00+00:00,116,571961.21,4930.700086206896
2012-02-29 00:00:00+00:00,170,896648.25,5274.4014705882355
2012-03-31 00:00:00+00:00,183,774439.41,4231.909344262295
2012-04-30 00:00:00+00:00,192,838527.28,4367.329583333333
2012-05-31 00:00:00+00:00,203,939852.7000000001,4629.8162561576355
2012-06-30 00:00:00+00:00,175,798132.1,4560.754857142857
2012-07-31 00:00:00+00:00,181,674897.8099999999,3728.7171823204417
2012-08-31 00:00:00+00:00,177,751769.66,4247.286214689266
2012-09-30 00:00:00+00:00,176,699203.59,3972.747670454545
2012-10-31 00:00:00+00:00,164,573613.34,3497.6423170731705
2012-11-30 00:00:00+00:00,181,787529.05,4350.9892265193375
2012-12-31 00:00:00+00:00,188,751739.7,3998.6154255319148
2013-01-31 00:00:00+00:00,156,555610.3,3561.6044871794875
2013-02-28 00:00:00+00:00,172,657501.11,3822.680872093023
2013-03-31 00:00:00+00:00,240,964026.08,4016.775333333333
2013-04-30 00:00:00+00:00,228,928707.89,4073.280219298246
2013-05-31 00:00:00+00:00,237,960528.36,4052.8622784810127
2013-06-30 00:00:00+00:00,246,1006208.88,4090.28
2013-07-31 00:00:00+00:00,210,782360.02,3725.5239047619048
2013-08-31 00:00:00+00:00,209,1000342.89,4786.32961722488
2013-09-30 00:00:00+00:00,188,866117.13,4607.006010638298
2013-10-31 00:00:00+00:00,206,847149.92,4112.378252427185
2013-11-30 00:00:00+00:00,206,692253.09,3360.451893203883
2013-12-31 00:00:00+00:00,197,844467.2,4286.635532994924
2014-01-31 00:00:00+00:00,210,914919.0499999999,4356.757380952381
2014-02-28 00:00:00+00:00,1179,2488151.91,2110.3917811704837
2014-03-31 00:00:00+00:00,456,1117733.43,2451.169802631579
2014-04-30 00:00:00+00:00,220,947210.11,4305.5005
2014-05-31 00:00:00+00:00,249,760704.34,3055.0375100401607
2014-06-30 00:00:00+00:00,224,798447.22,3564.496517857143
2014-07-31 00:00:00+00:00,197,849760.66,4313.505888324873
2014-08-31 00:00:00+00:00,218,755825.57,3467.0897706422015
2014-09-30 00:00:00+00:00,225,815250.59,3623.3359555555553
2014-10-31 00:00:00+00:00,232,884869.61,3814.093146551724
2014-11-30 00:00:00+00:00,241,768926.76,3190.567468879668
2014-12-31 00:00:00+00:00,234,909862.92,3888.3030769230772
2015-01-31 00:00:00+00:00,210,715600.77,3407.622714285714
2015-02-28 00:00:00+00:00,200,893551.64,4467.7582
2015-03-31 00:00:00+00:00,219,915687.35,4181.220776255707
2015-04-30 00:00:00+00:00,199,967845.18,4863.543618090453
2015-05-31 00:00:00+00:00,205,878592.01,4285.814682926829
2015-06-30 00:00:00+00:00,185,896447.3,4845.661081081082
2015-07-31 00:00:00+00:00,195,795326.52,4078.5975384615385
2015-08-31 00:00:00+00:00,192,679327.23,3538.16265625
2015-09-30 00:00:00+00:00,207,895341.84,4325.322898550725
2015-10-31 00:00:00+00:00,202,780332.36,3863.031485148515
2015-11-30 00:00:00+00:00,240,760745.43,3169.772625
2015-12-31 00:00:00+00:00,215,945855.26,4399.326790697674
2016-01-31 00:00:00+00:00,196,675452.83,3446.187908163265
2016-02-29 00:00:00+00:00,202,522337.27999999997,2585.828118811881
2016-03-31 00:00:00+00:00,211,695950.58,3298.343981042654
2016-04-30 00:00:00+00:00,198,563843.97,2847.696818181818
2016-05-31 00:00:00+00:00,198,707314.45,3572.295202020202
2016-06-30 00:00:00+00:00,211,814693.01,3861.1043127962084
2016-07-31 00:00:00+00:00,186,756949.12,4069.6189247311827
2016-08-31 00:00:00+00:00,191,696092.58,3644.4637696335076
2016-09-30 00:00:00+00:00,204,626837.05,3072.7306372549024
2016-10-31 00:00:00+00:00,213,660717.49,3101.9600469483566
2016-11-30 00:00:00+00:00,228,777658.49,3410.782850877193
2016-12-31 00:00:00+00:00,213,888854.27,4173.024741784037
2017-01-31 00:00:00+00:00,187,872936.65,4668.110427807486
2017-02-28 00:00:00+00:00,171,746772.92,4367.093099415205
2017-03-31 00:00:00+00:00,190,846805.7,4456.872105263157
2017-04-30 00:00:00+00:00,185,705079.19,3811.2388648648644
2017-05-31 00:00:00+00:00,212,845800.39,3989.6244811320757
2017-06-30 00:00:00+00:00,216,872018.66,4037.123425925926
2017-07-31 00:00:00+00:00,209,789013.13,3775.1824401913877
2017-08-31 00:00:00+00:00,205,725541.15,3539.2251219512195
2017-09-30 00:00:00+00:00,192,819845.44,4270.028333333333
2017-10-31 00:00:00+00:00,186,772885.64,4155.299139784946
2017-11-30 00:00:00+00:00,216,851693.9,3943.027314814815
2017-12-31 00:00:00+00:00,191,748501.7,3918.857068062827
2018-01-31 00:00:00+00:00,189,830350.31,4393.387883597884
2018-02-28 00:00:00+00:00,183,579232.13,3165.2028961748633
2018-03-31 00:00:00+00:00,201,684182.55,3403.8932835820897
2018-04-30 00:00:00+00:00,180,624596.21,3469.978944444444
2018-05-31 00:00:00+00:00,211,784057.89,3715.914170616114
2018-06-30 00:00:00+00:00,175,688147.4,3932.2708571428575
2018-07-31 00:00:00+00:00,177,832648.62,4704.229491525423
2018-08-31 00:00:00+00:00,194,959739.29,4947.109742268041
2018-09-30 00:00:00+00:00,181,594135.68,3282.517569060774
2018-10-31 00:00:00+00:00,174,624257.04,3587.684137931035
2018-11-30 00:00:00+00:00,205,750306.12,3660.0298536585365
2018-12-31 00:00:00+00:00,222,795165.13,3581.82490990991
2019-01-31 00:00:00+00:00,209,890661.04,4261.536076555024
2019-02-28 00:00:00+00:00,174,732454.73,4209.509942528735
2019-03-31 00:00:00+00:00,227,795486.28,3504.3448458149783
2019-04-30 00:00:00+00:00,177,564497.47,3189.251242937853
2019-05-31 00:00:00+00:00,193,647836.18,3356.6641450777206
2019-06-30 00:00:00+00:00,174,823866.57,4734.865344827586
2019-07-31 00:00:00+00:00,207,756402.74,3654.1195169082125
2019-08-31 00:00:00+00:00,173,654129.32,3781.0943352601153
2019-09-30 00:00:00+00:00,161,690033.8,4285.924223602485
2019-10-31 00:00:00+00:00,169,696356.76,4120.454201183432
2019-11-30 00:00:00+00:00,188,882538.42,4694.353297872341
2019-12-31 00:00:00+00:00,176,781075.47,4437.928806818181
2020-01-31 00:00:00+00:00,176,777268.64,4416.299090909091
2020-02-29 00:00:00+00:00,162,624904.99,3857.438209876543
2020-03-31 00:00:00+00:00,180,712733.63,3959.631277777778
2020-04-30 00:00:00+00:00,199,805051.66,4045.485728643216
2020-05-31 00:00:00+00:00,193,761940.18,3947.8765803108813
2020-06-30 00:00:00+00:00,184,788889.84,4287.444782608695
2020-07-31 00:00:00+00:00,233,842892.37,3617.563819742489
2020-08-31 00:00:00+00:00,223,1646407.05,7382.991255605381
2020-09-30 00:00:00+00:00,209,557146.12,2665.770909090909
2020-10-31 00:00:00+00:00,232,921083.0599999999,3970.1856034482757
2020-11-30 00:00:00+00:00,261,832817.9299999999,3190.873295019157
2020-12-31 00:00:00+00:00,267,1022942.49,3831.2452808988764
2021-01-31 00:00:00+00:00,263,1006919.14,3828.589885931559
2021-02-28 00:00:00+00:00,328,572134.91,1744.31375
2021-03-31 00:00:00+00:00,452,653010.67,1444.713871681416
2021-04-30 00:00:00+00:00,421,705456.87,1675.6695249406175
2021-05-31 00:00:00+00:00,342,696942.93,2037.8448245614036
2021-06-30 00:00:00+00:00,260,823315.13,3166.596653846154
2021-07-31 00:00:00+00:00,263,789054.98,3000.2090494296576
2021-08-31 00:00:00+00:00,232,651178.67,2806.8046120689655
2021-09-30 00:00:00+00:00,246,624164.25,2537.253048780488
2021-10-31 00:00:00+00:00,225,1029468.43,4575.415244444444
2021-11-30 00:00:00+00:00,267,828955.78,3104.70329588015
2021-12-31 00:00:00+00:00,231,796630.24,3448.6157575757575
2022-01-31 00:00:00+00:00,219,691474.06,3157.4157990867584
2022-02-28 00:00:00+00:00,1,0.0,0.0
