PAYER,encounters,total_claim_cost,total_coverage,average_coverage_rate
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,1443,8954131.02,8417973.72,74.55085781324135
7caa7254-5050-3b5e-9eae-bd5ea30e809c,11371,24647228.89,19215691.37,62.95072808216715
b3221cfc-24fb-339e-823d-bc4136cbc4ed,912,1546925.99,1380705.87,45.90162373557356
6e2f1a2d-27bd-3701-8d08-dae202c58632,925,3002166.01,2074496.34,32.021687455117544
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,900,2563507.98,3937.3199999999997,2.613363517706033
d47b3510-2895-3b70-9897-342d681c769d,1084,3543921.36,1953.86,1.2556742301190924
4d71f845-a6a9-3c39-b242-14d25ef86a8d,936,2589956.1,1780.1599999999999,0.5025893616513112
047f6ec3-6215-35eb-9608-f9dda363a44c,809,2424532.96,968.35,0.2010565917428851
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,704,2982715.05,0.0,0.0
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,8807,49259290.16,0.0,0.0
